No,date,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station,season
1,2013-03-01,0,9.0,9.0,6.0,17.0,200.0,62.0,0.3,1021.9,-19.0,0.0,WNW,2.0,Wanshouxigong,Spring
2,2013-03-01,1,11.0,11.0,7.0,14.0,200.0,66.0,-0.1,1022.4,-19.3,0.0,WNW,4.4,Wanshouxigong,Spring
4,2013-03-01,3,8.0,8.0,3.0,16.0,250.0,47.5,-0.7,1023.5,-20.9,0.0,NW,2.6,Wanshouxigong,Spring
5,2013-03-01,4,8.0,8.0,3.0,12.0,300.0,36.0,-0.9,1024.1,-21.7,0.0,WNW,2.5,Wanshouxigong,Spring
6,2013-03-01,5,10.0,10.0,4.0,8.0,200.0,64.0,-1.6,1024.7,-21.1,0.0,NE,2.0,Wanshouxigong,Spring
7,2013-03-01,6,8.0,8.0,6.0,13.0,300.0,61.0,-2.4,1025.4,-20.3,0.0,NE,2.3,Wanshouxigong,Spring
8,2013-03-01,7,8.0,8.0,8.0,20.0,300.0,54.0,-0.8,1026.7,-19.9,0.0,NNE,2.0,Wanshouxigong,Spring
9,2013-03-01,8,3.0,6.0,9.0,23.0,300.0,50.0,0.4,1027.3,-19.4,0.0,NE,2.7,Wanshouxigong,Spring
10,2013-03-01,9,3.0,6.0,10.0,18.0,300.0,56.0,1.5,1027.4,-19.7,0.0,ENE,2.9,Wanshouxigong,Spring
12,2013-03-01,11,3.0,6.0,9.0,14.0,300.0,62.0,3.1,1027.2,-21.1,0.0,N,4.1,Wanshouxigong,Spring
13,2013-03-01,12,3.0,6.0,8.0,10.0,300.0,67.0,4.7,1026.3,-20.6,0.0,ESE,1.6,Wanshouxigong,Spring
14,2013-03-01,13,3.0,9.0,7.0,9.0,300.0,70.0,5.5,1025.2,-20.0,0.0,NE,3.1,Wanshouxigong,Spring
15,2013-03-01,14,3.0,14.0,7.0,8.0,300.0,72.0,6.6,1024.9,-19.9,0.0,NW,2.1,Wanshouxigong,Spring
16,2013-03-01,15,12.0,14.0,5.0,7.0,200.0,73.0,6.1,1024.7,-19.5,0.0,NE,2.4,Wanshouxigong,Spring
17,2013-03-01,16,11.0,17.0,7.0,9.0,300.0,72.0,5.9,1024.7,-18.8,0.0,N,3.3,Wanshouxigong,Spring
18,2013-03-01,17,13.0,18.0,8.0,14.0,300.0,67.0,5.3,1025.3,-19.3,0.0,NNW,2.0,Wanshouxigong,Spring
19,2013-03-01,18,10.0,18.0,9.0,20.0,400.0,58.0,4.1,1026.4,-19.5,0.0,NNE,2.2,Wanshouxigong,Spring
